Point ID,vtkOriginalPointIds,Points_0,Points_1,Points_2,Points_Magnitude
439,48432,16.8178,-21.1139,227.574,229.169
440,48433,17.8973,-22.6301,227.935,229.754
441,48434,17.2514,-22.3915,228.735,230.474
442,48435,16.6721,-21.6618,228.651,230.279
443,48436,16.031,-20.6266,228.073,229.564
444,48437,18.2805,-22.4566,226.934,228.774
445,48446,14.0228,-18.3657,226.925,228.099
446,48447,14.3969,-18.9656,227.577,228.819
447,48448,13.3722,-18.2901,227.618,228.742
448,48449,13.7304,-18.8941,228.297,229.489
449,48450,12.8531,-18.5444,228.665,229.775
450,48451,15.1514,-19.4032,227.302,228.631
451,48452,14.3077,-19.5841,228.766,230.049
452,48453,14.9372,-19.708,228.153,229.489
453,48454,16.2825,-20.2809,227.082,228.567
454,48455,15.4102,-20.0994,228.139,229.54
455,48476,9.50548,-17.116,228.996,229.832
456,48478,12.0211,-18.0925,228.704,229.734
457,48479,11.3,-17.4359,228.163,229.107
458,48480,10.4944,-17.4365,228.847,229.751
459,48481,12.5839,-17.8733,227.716,228.763
460,48504,-3.02074,-55.3525,230.643,237.211
461,48511,-0.792703,-55.4279,231.013,237.571
462,48512,-1.41828,-56.0303,230.022,236.752
463,48513,-1.83604,-55.3582,230.943,237.492
464,48515,0.281829,-56.5752,229.35,236.225
465,48516,1.38532,-56.2446,229.872,236.657
466,48517,0.847061,-55.5534,230.902,237.492
467,48518,-0.0011147,-55.9387,230.342,237.037
468,48519,3.56214,-56.3667,229.386,236.237
469,48520,2.48541,-56.1561,229.897,236.669
470,48521,3.07849,-55.6217,230.57,237.204
471,48522,1.86364,-55.5372,230.854,237.447
472,48523,5.64664,-55.2936,230.353,236.963
473,48524,4.56634,-55.0342,231.029,237.537
474,48525,4.03318,-55.6181,230.386,237.039
475,48526,4.84633,-55.9035,229.769,236.522
476,48527,6.4997,-55.7163,229.402,236.161
477,48528,7.78104,-55.2061,229.525,236.199
478,48529,6.73416,-54.9703,230.363,236.927
479,48541,7.75197,-54.5729,230.431,236.932
480,48542,8.85249,-54.5405,229.869,236.417
481,48543,9.31244,-53.6178,230.816,237.145
482,48544,9.93028,-53.8101,230.179,236.594
483,48545,9.88206,-54.4672,229.292,235.88
484,48546,8.41638,-53.9545,230.894,237.264
485,48547,11.9164,-52.8592,229.914,236.213
486,48548,10.916,-53.3625,230.069,236.428
487,48549,11.416,-52.4594,230.805,236.967
488,48550,10.4124,-53.0282,230.846,237.087
489,48551,10.8924,-53.9965,229.209,235.735
490,48552,11.9122,-53.4759,229.075,235.535
491,48553,12.9356,-52.3047,229.695,235.93
492,48560,13.9548,-51.0798,230.18,236.192
493,48561,13.0221,-51.3246,230.789,236.786
494,48562,13.8726,-52.0069,229.1,235.338
495,48563,12.3643,-51.9291,230.668,236.764
496,48564,15.3666,-50.7645,228.94,235.003
497,48565,14.9942,-50.4632,229.771,235.724
498,48566,14.5715,-51.304,229.226,235.349
499,48573,16.1117,-49.8396,229.118,235.029
500,48574,14.6593,-50.0529,230.614,236.438
501,48575,15.9633,-48.681,230.594,236.216
502,48576,15.5466,-49.5283,230.193,235.974
503,48577,16.4479,-48.9029,229.75,235.472
504,48578,17.0622,-48.7423,229.069,234.819
505,48583,17.9513,-46.6993,229.864,235.246
506,48584,17.6473,-47.8186,229.208,234.807
507,48585,17.5315,-46.6761,230.482,235.813
508,48586,17.1013,-47.6617,230.154,235.659
509,48587,16.3854,-47.9968,230.758,236.265
510,48588,18.6823,-46.2698,229.114,234.485
